,rmse_sarima,item
0,39.44413629552245,1
1,123.2094228245181,2
2,67.86404311089953,3
3,48.515115298937914,4
4,32.414243883105875,5
5,116.58641255374128,6
6,109.12328282977539,7
7,152.17775121101917,8
8,99.60731383063954,9
9,138.06295871506708,10
10,119.84197821571952,11
11,126.50620921224011,12
12,160.38562072390712,13
13,134.03365532140643,14
14,170.19258999093077,15
15,53.80137733371563,16
16,58.12262116361552,17
17,191.63826914093517,18
18,102.51915810743611,19
19,96.19960497756973,20
20,78.24939934165951,21
21,151.60296986092592,22
22,62.10142284204278,23
23,149.11638536232186,24
24,148.411899852813,25
25,88.40872999767294,26
26,46.42131679003927,27
27,182.07578867859547,28
28,136.3677168025876,29
29,85.55517567062962,30
30,122.93399897859484,31
31,85.8486324281269,32
32,138.6032063471799,33
33,54.5746342676023,34
34,127.82809401413165,35
35,156.24904556537288,36
36,58.831320491130214,37
37,152.6257353349696,38
38,88.02172566272307,39
39,61.79122248090719,40
40,45.52954557664539,41
41,83.37463990507023,42
42,105.78948784041977,43
43,63.13680376605774,44
44,190.54741335338605,45
45,113.78184960371955,46
46,43.465371427276445,47
47,104.99574858640578,48
48,63.933972654060284,49
49,129.66244608737262,50
