,rmse_tes,item
0,42.30525234379215,1
1,110.01580846213689,2
2,70.39416788839424,3
3,43.437435707683754,4
4,36.526296685805654,5
5,108.24404092972752,6
6,109.34085890496021,7
7,144.90006679000658,8
8,95.44142734042046,9
9,132.21991099473402,10
10,127.62690392041158,11
11,122.61099002158397,12
12,154.205846563548,13
13,107.04250008474179,14
14,160.0260660781563,15
15,50.7838554605844,16
16,63.67447471392886,17
17,154.32687513667128,18
18,74.61916455359658,19
19,86.4033433251396,20
20,79.85234203897578,21
21,144.262608962629,22
22,56.946568567840686,23
23,119.61870577843882,24
24,148.92154252487083,25
25,86.78360800847067,26
26,43.33599256992932,27
27,162.1367953250761,28
28,126.08209490937539,29
29,79.59225867467244,30
30,107.85060441229396,31
31,87.92160820894524,32
32,130.82055127455695,33
33,48.96079596388521,34
34,126.04764238569281,35
35,138.960167290935,36
36,59.89323434896597,37
37,146.5332683443059,38
38,85.38735163059184,39
39,55.87572364901851,40
40,44.79940124416991,41
41,68.52921944403965,42
42,95.36249338846233,43
43,54.42167536568586,44
44,149.51173024030564,45
45,108.86195521207401,46
46,42.750367588966064,47
47,97.4795394425931,48
48,58.26615477932443,49
49,121.4601151916261,50
